"","Bzone","DailyCO2e_2019","DVMT_2019","DailyCO2e_2045_base","DVMT_2045_base","DailyCO2e_2045_telework","DVMT_2045_telework","hispanic_index","low_income_index","racial_minority_index","age75older_index","nonEnglish_index","disability_index","index","EEA"
"461",1965,7283.182172008,16364.77656192,5374.34006508965,20475.4557800604,4681.29363377591,17534.7024996905,0,0,0,0,0,0,0,0
"462",1966.01,4308.854980675,9611.703946959,2144.65683150168,8884.4357219672,1794.35579509178,7376.694745577,1.85414499684023,1.36861357238142,0,0,1.52478609366043,0,4.74754466288208,1
"463",1966.02,7064.776213508,15772.678154539,3649.16480054553,15112.5935786204,3215.24851720187,12991.7322006616,1.86211545758412,1.37727839796137,0,0,1.53252648155534,0,4.77192033710083,1
"464",1967,17212.675586924,38719.028797669,8786.96624165567,36418.0764210762,7115.55378402791,29474.0480615088,1.86555584579321,1.39299472248094,0,0,1.54144508644802,0,4.79999565472217,1
"465",1968.01,19094.995726941,42903.038257986,10933.8276631027,50893.9613090189,9436.15043612849,43215.8180344608,0,0,0,0,0,0,0,0
"466",1968.02,6654.818548279,14841.669716561,3552.98553857421,15797.632940377,3234.51827190425,14447.5030946479,0,0,0,0,0,0,0,0
"467",1969.01,4730.854831095,10474.806562553,5130.34558019575,22940.01637541,4674.90846588133,20453.963055709,0,1.01319334445215,0,0,0,0,1.01319334445215,0
"468",1969.02,10162.578513078,22863.31216868,4771.75051584897,20935.3379943427,4091.12874821335,17853.0212748689,0,1.01468831742458,0,0,0,0,1.01468831742458,0
"469",1970,9725.119415514,21727.359574735,5024.95299459091,20352.6198575311,4361.85509450692,17909.6853052866,1.79998648567793,1.3514448319665,0,0,1.50438272160375,0,4.65581403924817,1
"470",1971,14392.838589313,31973.013222768,7379.72312987955,31572.9626148569,6354.5705973448,26444.6193819084,0,1.02727231816704,0,0,0,0,1.02727231816704,0
"471",1972.01,2044.498588986,4467.907197309,1577.00007091259,6575.81159380951,1349.0307001414,5641.40021226703,0,1.52726468705369,0,0,0,0,1.52726468705369,0
"472",1972.02,2833.749121275,6417.837165762,3168.36114737174,13730.4496828763,2841.72229438694,12046.0005888002,0,1.53126791848502,0,0,0,0,1.53126791848502,0
"473",1972.03,2362.982556963,5205.939547135,1089.08459605114,4577.33250406266,928.436477568135,3815.35193254468,0,1.52638231478545,0,0,0,0,1.52638231478545,0
"474",1972.04,5147.613915574,11247.282344053,4479.2382158138,18840.9320710607,3884.6101354914,15857.5363197877,0,1.51386070977544,0,0,0,0,1.51386070977544,0
"475",1973.01,4111.37829517,9172.670016986,6139.31488320623,28183.5018295445,5328.74969840237,23735.959059107,0,1.03729740587288,0,0,0,0,1.03729740587288,0
"476",1973.02,6292.018529411,13933.597673277,3224.8929319359,13481.5844952026,2734.71707073073,11710.7335833435,0,1.01203093927639,0,0,0,0,1.01203093927639,0
"477",1973.03,3883.360909522,8625.356656589,4258.79822671947,19002.1803389369,3684.10895539803,16341.2003630363,0,1.03075269445752,0,0,0,0,1.03075269445752,0
"478",1973.04,4869.572339951,11006.175149085,5513.51049751017,24012.5033524464,4796.55610645777,21158.2666010676,0,1.03034704213136,0,0,0,0,1.03034704213136,0
"479",1974,26976.072380869,59558.323516081,14209.1009988783,57899.2143408036,11713.8319834848,48567.9263244712,0,1.5274944599507,0,0,0,0,1.5274944599507,0
"480",1975,35100.736673231,78946.711517356,19378.0339778602,74268.3637798263,16014.5447586521,61140.7028876159,0,0,0,0,0,0,0,0
"481",1976,49130.397712744,109776.075018407,26393.8707106631,103488.831155245,23149.9791358765,89525.0573517933,0,0,0,1.66538561107515,0,0,1.66538561107515,0
"482",1977,16118.984925665,36140.428707929,8762.76658567668,33066.777839858,6969.00039888778,26647.4097414885,0,0,0,1.8826705361871,0,0,1.8826705361871,0
"483",1978,42359.567769876,94695.792846828,24321.8739139081,90246.3118821926,20307.2389893601,75290.7367878632,0,0,0,0,0,0,0,0
"484",1979,46887.574772497,105677.833331052,27464.3292670924,101197.905170154,22641.7345802685,83293.3149973046,0,0,0,1.96352485483012,0,0,1.96352485483012,0
"485",1980,29335.523766089,66082.791960522,16564.3166709187,61276.7032687303,14191.252872491,51956.8666388693,0,0,0,2.02740624175125,0,0,2.02740624175125,0
"486",1981,27521.773666874,61361.368393882,15267.6252225791,58278.7420728651,12633.2305629569,47927.284267073,0,0,0,1.8875603505842,0,0,1.8875603505842,0
"487",1982,42092.999260838,94307.069122845,21740.4930402327,95769.8414605078,17393.529206349,76004.4487644826,3,2.50939104426677,1.69434846532571,0,2.59933264109392,0,9.8030721506864,1
"488",1983,4685.317726812,10506.618666674,2776.05451304986,10159.4456187518,2378.22312587872,8558.94831844725,0,0,0,1.54694293886645,0,0,1.54694293886645,0
"489",1984,22594.910000623,50497.660283893,12793.0491620954,47528.4043934876,10442.7187647612,38792.5560001423,0,0,0,1.55052174544363,0,0,1.55052174544363,0
"490",1985,27986.462440816,63204.644192838,15822.2941574429,58896.4679254442,13130.3466963333,48100.2108582469,0,0,0,1.53739040090346,0,0,1.53739040090346,0
"491",1986,77080.829605887,172628.540933525,41917.1634418687,161270.762526793,34625.42565446,132985.597030085,0,0,0,0,0,0,0,0
"492",1987,21745.759579572,48547.533593079,12573.1707495509,47202.9180745709,10265.7403547443,38587.228500459,0,0,0,0,0,0,0,0
"493",1988,11802.667245486,26388.456460254,7025.04054526233,25905.6520498181,5746.85493312031,21324.442200493,0,0,0,0,0,1.71557887441324,0,0
"494",1989.01,45240.672977047,101128.81836942,27754.2901499416,107980.658959273,23168.8722040325,89057.5796641472,1.79973960931279,0,0,0,2.05987106123299,0,3.85961067054578,0
"495",1989.02,2820.651746211,6443.684732519,2191.30299559925,8446.10914239195,1831.81947161269,7107.39540238714,1.80560339939185,0,0,0,2.06861261202681,0,3.87421601141866,0
"496",1989.03,1823.942664757,4104.084619981,938.61495736061,3651.48137750809,783.030026669144,2943.48839159581,1.83623677582075,0,0,0,2.09196616291132,0,3.92820293873207,0
"497",1990,45618.904349643,101278.925102827,22696.3889868782,96020.0697715217,19126.2182413589,81000.0361456258,2.48353522108874,2.09642738136092,1.71385549082051,0,2.08559493261782,0,8.37941302588799,1
"498",1991,4199.373780205,9324.703101109,2184.76336332766,8973.21694897939,1697.88026937058,7356.73286755132,2.22011312228102,2.06705208845226,1.76114697799651,0,2.17540961872519,0,8.22372180745497,1
"499",1992,1965.385923853,4382.291891232,1555.97910056269,6719.71314270102,1172.15176542954,5037.23566142355,2.1860351335673,2.04214451120259,1.75636537106164,0,2.12188803444655,0,8.10643305027809,1
"500",1993,594.349438838,1260.804479768,303.676297068981,1048.71319081111,221.41486756251,917.888915860954,0,1.05730905637068,0,2.76865270918644,1.56137251782937,1.53302942434906,5.38733428338649,1
"501",1994,2636.669393244,5915.496386856,4424.5006459121,17755.1937413149,3579.88410369873,14286.5985893124,0,0,0,2.20105895976237,0,1.93307982956439,2.20105895976237,1
"502",1995,1122.457021199,2412.617726126,514.988291676739,2093.5298156175,537.896536935976,1974.73157691192,1.96486377671024,1.83354522822411,0,0,0,0,3.79840900493435,1
"503",1996,25109.293906827,55893.12345432,13521.1213620503,52811.2164062718,11515.714061686,44484.7731295703,0,1.03753621149236,0,2.80073917430328,1.57420980757904,1.53540792844004,5.41248519337469,1
"504",1997,6344.705631297,14205.163226529,3420.20758089398,12579.3645986029,2734.52235853607,9781.11100048779,0,0,0,0,0,0,0,0
"505",1998,39890.402535406,88834.499298628,21813.9958122616,84553.5601292844,17537.993976687,67928.8481601134,1.97940962839014,1.85526838211448,0,0,0,0,3.83467801050462,1
"506",1999,11889.173407586,26570.750034785,6705.47606755127,26938.2514731586,5499.60214252105,21854.9870867759,0,1.13600575878278,0,0,0,0,1.13600575878278,0
"507",2000,24313.287306973,53933.910422137,13429.2051421215,54162.5774135661,11046.8689582903,44876.3842461636,0,1.12144243345434,0,0,0,0,1.12144243345434,0
"508",2001,13956.777635061,31206.412104341,8730.06937345218,35869.6498052278,7316.84036079783,29855.3115525463,0,1.18304454665534,0,0,0,0,1.18304454665534,0
"509",2002,16621.737843665,36513.283910073,7941.33288577071,35335.9892138976,6956.66072866653,30225.6953056015,2.01504806088471,2.73338878131179,1.64978764719909,0,1.97814007973324,0,8.37636456912882,1
"510",2003,27406.465946588,60002.258177642,12901.922876948,56135.6130816384,11249.4105281506,47304.0168323739,1.77083142397776,2.32752140051453,1.534808475502,0,1.85019821129507,0,7.48335951128936,1
"511",2004,3040.649880588,6700.266736587,1652.12066318115,6024.01868444459,1351.11371510097,4929.79794275271,0,1.10044343097933,0,0,0,0,1.10044343097933,0
"512",2005,3093.193643307,6780.97777454,1944.42261222592,7204.46928654544,1486.25121603659,5360.13001449962,0,0,0,0,0,0,0,0
"513",2006.01,15307.565217607,33698.073097035,11949.8519709717,50416.4949154711,10445.2867465484,43470.0699917292,2.04636542892388,1.96326637971726,0,0,1.57001354768769,0,5.57964535632883,1
"514",2006.02,2101.791930862,4520.234075847,898.313912513819,3950.56360462672,829.391974188375,3384.47675654766,2.04636542892388,1.96326637971726,0,0,1.57001354768769,0,5.57964535632883,1
"515",2007,63517.362603838,142111.378444493,32923.5935304679,136202.639007342,28212.6533874558,116672.586797409,1.8628416295539,1.65127618118201,0,0,0,0,3.51411781073591,1
"516",2008,23248.498909989,52478.058301629,13933.6428789279,51698.0047011719,11754.1392632504,43536.1325181073,0,0,0,0,0,0,0,0
"517",2009,9966.668966053,22357.680123904,5311.81003959875,20935.1094728209,4481.08255011676,17335.9472429201,0,0,0,0,0,0,0,0
"518",2010,4351.389353072,9501.328294263,2567.73631116969,10319.0232842732,2216.95893650589,8851.17466569803,0,1.53449608260091,0,0,0,0,1.53449608260091,0
"519",2011,16817.506061721,37740.531970357,9989.07504108063,37253.0114207391,8063.2952979494,29593.4994532527,0,0,0,0,1.57780877580019,1.60563410388412,1.57780877580019,0
"520",2012.01,4637.624448495,10362.110482968,2741.7118502738,9973.43879479382,2055.23640296077,7806.38429196943,1.63194273550116,0,0,0,1.69715754639718,1.58980849824105,3.32910028189835,1
"521",2012.02,1539.803390485,3310.544481642,845.779646506865,3314.62557077919,641.292696234343,2496.42841201355,1.79035536494969,0,0,0,1.84230188076923,1.52180488945519,3.63265724571891,1
"522",2013.01,9689.647604988,21650.877051371,5811.34541913984,21596.7741802606,4816.24118204372,17558.2127542535,0,1.03794887931181,0,0,0,0,1.03794887931181,0
"523",2013.02,1720.763097534,3758.716224207,893.367694025482,3387.56192499987,862.149727050171,3090.82929534887,1.65888146202473,1.14574526474622,0,0,1.8844974293836,0,4.68912415615455,1
"524",2014,18924.674347981,42292.626068501,10148.6586437166,40888.7319744065,8358.20018484711,33396.8955432354,3,1.66060092867413,1.50248030716485,0,3,0,9.16308123583898,1
"525",2015,11795.44227648,26808.386714182,6456.49257025487,25512.6621333043,5196.28993437697,20877.604419458,3,1.65837282976432,1.50343883500019,0,3,0,9.16181166476451,1
"526",2016,1689.237736144,3677.033255124,926.142384959701,3626.76423733944,781.385473344272,3014.58358997458,3,1.666913981482,1.50823479061369,0,3,0,9.1751487720957,1
"527",2017,1939.0630676,4270.874713894,2952.16978689074,12394.0594315809,2287.26288981795,9619.17302113407,3,1.66123990149357,1.50332471391975,0,3,0,9.16456461541332,1
"528",2018.01,1368.243698821,3029.781564416,1222.81240797195,5203.24655518737,1079.51948386721,4505.91650006998,0,1.16252567152099,0,3,1.52239525484376,2.82605597494233,5.68492092636475,1
"529",2018.02,2518.581036507,5660.572595034,1365.96270199492,5652.87496668546,1145.09763571722,4818.010859477,0,1.16252567152099,0,3,1.52239525484376,2.82605597494233,5.68492092636475,1
"530",2018.03,2511.255855887,5524.423791698,2292.79255040653,10109.0917273014,2101.09990536507,9095.85371871089,0,1.16262470722371,0,3,1.52228946855547,2.82569563279902,5.68491417577918,1
"531",2019,5084.762571341,11242.140679356,4889.74107071182,20491.400491346,4046.92342701295,16866.0262312027,3,1.66162065766262,1.50365420204744,0,3,0,9.16527485971006,1
"532",2020,27100.198518445,60113.748559246,14008.3950843737,58476.0010740156,12055.4102711668,49964.7309637157,0,1.14114793193093,0,3,0,2.77075427697878,4.14114793193093,1
"533",2021,17224.307629966,38387.992810777,12960.2296281526,55191.935135943,10980.3414703811,47239.6989225002,0,1.16697613524777,0,3,1.53676601692561,2.80899578543309,5.70374215217338,1
"534",2022,4602.251967149,10248.677058044,2383.20445851464,9634.81655364259,1890.40475584768,7876.13472195091,0,1.16749163354188,0,3,1.5382914656316,2.80799470401579,5.70578309917347,1
"535",2023,29341.206625782,65691.463076151,14623.4186124023,60523.8727287412,12530.6764567051,52518.1592846299,0,1.15140207252454,0,3,1.5069471811081,2.79542449902721,5.65834925363264,1
"536",2024,6628.465931557,14848.949505727,3825.62602455132,15632.7936569328,3194.84055680086,13242.7530806859,0,1.5199066725195,0,0,0,1.52572248383982,1.5199066725195,0
"537",2025.01,5007.793433161,10885.043134406,2853.17067610167,11744.599940081,2341.93045778009,9617.5561293122,0,1.53454716885644,0,0,0,0,1.53454716885644,0
"538",2025.02,3000.604097749,6531.420646228,1608.52244328633,6275.62397936266,1342.89083992609,5295.66591460189,0,1.53477065543444,0,0,0,0,1.53477065543444,0
"539",2025.03,2340.157856425,5257.190304257,1269.92699553224,5029.15930380077,1092.04771556734,4402.52606952059,0,1.53477065543444,0,0,0,0,1.53477065543444,0
"540",2026,1689.462526018,3711.101275705,3526.24929399716,15142.5840865052,3065.01450675282,12884.304345544,0,1.53477065543444,0,0,0,0,1.53477065543444,0
"541",2027,3511.688114948,7650.717493149,3740.73816248749,15824.1990681256,3381.30492513404,14226.7216497456,0,1.49708901618663,0,0,0,1.60874474907902,1.49708901618663,0
"542",2028,3995.700533879,8881.527819393,9775.98810061003,42412.5217089292,8149.12377496844,35120.6043495358,0,1.53477065543444,0,0,0,0,1.53477065543444,0
"543",2029,2253.093621434,5023.135006294,3160.44386668814,12963.2423603538,2646.47636156722,11175.3931479066,0,1.53477065543444,0,0,0,0,1.53477065543444,0
"544",2030,6931.691975218,15253.772855104,3673.37096414468,14592.0922026426,2913.06421836465,12397.6607768283,0,1.53316110331342,0,0,0,0,1.53316110331342,0
"545",2031,7434.293416387,16542.272633524,4548.98797246648,17912.6651688931,3759.20888826749,14263.2103404753,1.5209997618347,0,0,0,0,0,1.5209997618347,0
"546",2032,7658.039073493,16804.595008405,4267.66807891389,16512.2603571627,3860.31401859647,14409.5649682849,0,0,0,0,0,0,0,0
"547",2033,47762.10920678,107430.183206262,27163.1310972775,106811.234255794,22821.601218891,88844.2817391201,0,1.29281450871698,0,0,0,0,1.29281450871698,0
"548",2034,58150.674736064,130070.577311699,38239.6428021571,151454.421115226,32475.2477697294,128012.39207369,0,0,0,0,0,0,0,0
"549",2035,34155.434513245,76303.553984825,19854.229078258,76133.2463798996,16074.6646857416,61024.3131548186,0,0,0,0,0,0,0,0
"550",2036.01,6086.972847912,12930.081737521,10551.7387036315,46565.2330089607,9930.4760118827,41655.5302313356,0,1.76656223106687,0,0,0,0,1.76656223106687,0
"551",2036.02,4431.523664153,9372.38132932,1985.91190557759,8205.88869009757,1792.69103330234,7219.8497525863,0,2.10316812580755,0,0,0,0,2.10316812580755,1
"552",2036.03,1792.337961199,3762.598127089,806.990723426044,3588.62085559429,757.515547020562,3168.5333057156,0,1.87183863995099,0,0,0,0,1.87183863995099,0
"553",2037,18902.486368499,42580.305264592,10423.1663256885,38698.4605593584,8900.39687637769,32714.5362249493,0,0,0,1.84095407685417,0,0,1.84095407685417,0
"554",2038,66017.35253956,148247.143313215,32217.7996821345,130102.367778893,27336.6406234105,109640.927949061,0,0,0,0,0,0,0,0
"555",2039,12682.764437059,28525.611124381,6679.09788767684,26647.5885993447,5530.4948999333,21835.1379138544,0,0,0,0,0,0,0,0
"556",2040,8511.713061048,19065.186087812,5128.09269290327,19914.9054369858,4188.98515733641,16435.8875711589,0,1.28898858086057,0,0,0,0,1.28898858086057,0
"557",2041,15914.876059935,36080.864481553,10893.0418317725,40546.0499023248,9105.31588378847,33900.5553504201,0,0,0,0,0,0,0,0
"558",2042,32068.078187856,72522.99396649,18500.6503601616,68616.8160319603,16233.1794058983,59054.4617644787,0,0,0,0,0,0,0,0
"559",2043,8599.874830634,18992.055582012,5146.10867860128,19018.6632771533,4383.03293767968,16100.4960855101,0,0,0,0,0,0,0,0
"560",2044.01,47318.447681644,104980.285534154,26855.1586778785,121881.148802017,23285.4489982251,105628.94283836,2.90879444031276,2.20518715066471,0,0,2.02099873227334,0,7.13498032325082,1
"561",2044.02,4503.209965588,9981.610376957,2488.58510613496,11356.3281701885,2312.99322748136,10130.5161874063,2.90152435160773,2.19484600907866,0,0,2.01429015079621,0,7.1106605114826,1
"562",2045,8496.96184587,18809.327171467,1986.05216044482,9517.23332103613,1512.2035243433,7079.83575613259,2.91048212419718,2.20201674583915,0,0,2.02100018990172,0,7.13349905993805,1
"563",2046,1861.908085408,4183.489420248,1559.22062458456,6267.18684402775,1241.38243218436,4993.62459438382,1.86631693065784,1.10855081977548,0,0,0,0,2.97486775043332,1
"564",2047.01,21368.905231237,48133.925889881,19319.4337268654,76926.8915249275,16179.5970919804,64354.8377432764,1.85949130495937,1.0975514595468,0,0,0,0,2.95704276450617,1
"565",2047.02,2751.950247696,6255.827221227,1333.78657000954,5457.4171744105,1174.03294956504,4939.21636680109,1.51912807568733,1.97684191790933,0,0,0,0,3.49596999359666,1
"566",2048,15948.960448961,35708.732590881,10263.3898326207,37211.7890653013,8106.96326971967,29491.7423861279,2.10378414734569,0,0,0,0,0,2.10378414734569,0
"567",2049,33999.845682694,76438.433000811,19887.2579121037,74244.9711763752,16554.2301047948,61806.4931925158,0,1.14579936469213,0,0,0,0,1.14579936469213,0
"568",2050,8000.590397252,18056.416386263,4772.81287102143,17905.1266864761,3816.90028611395,14397.0059575489,1.5827455192566,1.07176703015073,0,0,0,0,2.65451254940733,1
"569",2051,14336.565915345,31489.844287408,8365.23356360965,30995.3962639039,6624.08861885408,25055.0985791806,1.56241495960629,1.06953573135083,0,0,0,0,2.63195069095712,1
"570",2052,31156.464070358,69381.670973796,17259.5384295473,71284.5330464532,14753.8469839434,60253.1976334931,0,0,0,0,0,0,0,0
"571",2053,15624.226432046,35131.842595988,9415.64585401766,34932.4835335173,7719.81651678462,28567.5693014996,0,0,0,0,0,0,0,0
"572",2054,24143.540592764,54121.833214028,12823.3097254227,52232.0387873834,10782.0903755449,44364.2200889664,0,0,0,0,0,0,0,0
"573",2055,7029.652776595,15968.610552534,6386.91048215178,24244.3138269374,5363.05054582174,20450.4520103636,0,0,0,0,0,0,0,0
"574",2056,4115.50800931,9202.926406035,4282.96185123751,16337.6615257783,3745.73691246914,13882.0686938127,0,0,0,0,0,0,0,0
"575",2057,15180.339801268,33589.640917885,10186.3419901214,38158.989328574,8287.47463145441,31016.5432540693,1.58277677472847,1.07175528970787,0,0,0,0,2.65453206443635,1
"576",2058,9344.286945435,20774.71191065,5380.55676351455,20477.4647673392,4556.24764616979,17107.0354512975,1.54830468053452,1.08327943945567,0,0,0,0,2.63158411999019,1
"577",2059,23615.429112452,53746.333548667,14767.0245301416,67172.7136020247,12046.3695021601,54406.9048121646,0,0,0,0,0,0,0,0
"578",2060,30609.854576518,68884.261184811,17890.04294677,76155.3059603028,15758.7819178641,66780.4598021077,0,1.94259700958035,0,0,0,0,1.94259700958035,0
"579",2061.01,1503.649962775,3322.103055829,1096.59474658365,4762.03360303543,891.328328970161,3980.97968209062,0,0,0,0,0,0,0,0
"580",2061.02,5953.164219816,13504.30431299,3560.78934563586,16215.4718218172,3108.72803532544,14086.6882264394,0,0,0,0,0,0,0,0
"581",2062.01,2424.837103947,5353.031734539,4195.6430051562,16033.758560114,3299.52434617435,12690.1923012797,0,0,0,1.73683103922809,0,0,1.73683103922809,0
"582",2062.02,5714.194698517,12700.523965253,8528.70656787396,34559.9806536614,6903.36636267683,27828.977140003,0,0,0,1.86668522088057,0,0,1.86668522088057,0
"583",2062.03,27353.374103657,61495.891699863,17429.4598291224,64830.6909772547,14845.4909941769,54819.241779561,0,0,0,1.78714298508233,0,0,1.78714298508233,0
"584",2063.01,16330.0822551,37830.210942738,1209.81784426851,4947.44212985216,1148.21087673868,4354.01919736313,0,1.10669745262967,0,2.16512959912917,0,1.6969178740167,3.27182705175884,1
"585",2063.02,920.647629772,2043.969972251,0.248450649198492,1.1168421361957,0.0567580785435964,0.256046736488391,0,0,0,0,0,0,0,0
"586",2064,8412.608063829,18837.26779445,4890.36882994157,22196.3293924667,4166.27183006383,18905.1136968575,0,0,0,0,0,0,0,0
"587",2065,23293.695991524,52580.461747981,12054.5093910809,55194.0343809411,10425.6482526623,46818.3505804174,0,0,0,0,0,0,0,0
"588",2066.01,424.682249031,964.158160397,2.6232876427633,11.0532177074539,3.00352347767721,12.5605555016497,0,1.34918537903447,0,0,0,1.62736861739384,1.34918537903447,0
"589",2066.02,18474.941962189,41483.09685154,7760.73586222455,30733.3691851854,6535.07722944157,25855.1426261156,0,1.36758450419804,0,0,0,1.66520663445654,1.36758450419804,0
"590",2067,26366.236779272,58942.270159903,15971.2095622948,62712.744708123,13472.6411770209,52239.6114919426,0,0,0,1.81601834376568,0,1.66516498042412,1.81601834376568,0
